name,handedness,height,weight,avg,Scaled Avg_1,HR,Scaled HR_1,Performance_1
Byron Browne,R,74,190,0.236,0.720,30,0.0533,0.3864
Jack Brohamer,L,70,165,0.245,0.747,30,0.0533,0.4001
Von Joshua,L,70,170,0.273,0.832,30,0.0533,0.4428
Duffy Dyer,R,72,187,0.221,0.674,30,0.0533,0.3635
Ed Goodson,L,75,180,0.26,0.793,30,0.0533,0.4230
Steve Brye,R,72,190,0.258,0.787,30,0.0533,0.4199
Jerry Hairston,B,70,170,0.258,0.787,30,0.0533,0.4199
Jim Gosger,L,71,185,0.226,0.689,30,0.0533,0.3712
Len Matuszek,L,74,190,0.234,0.713,30,0.0533,0.3834
Pete Mackanin,R,74,190,0.226,0.689,30,0.0533,0.3712
Dave Rader,L,71,165,0.257,0.784,30,0.0533,0.4184
Bobby Wine,R,73,187,0.215,0.655,30,0.0533,0.3544
Paul Householder,B,72,180,0.236,0.720,29,0.0515,0.3855
Vic Correll,R,70,185,0.229,0.698,29,0.0515,0.3748
Larry Biittner,L,74,205,0.273,0.832,29,0.0515,0.4419
Charlie James,R,73,195,0.255,0.777,29,0.0515,0.4145
Rey Quinones,R,71,160,0.243,0.741,29,0.0515,0.3962
Joe Charboneau,R,74,205,0.266,0.811,29,0.0515,0.4312
Mike Ryan,R,74,205,0.193,0.588,28,0.0497,0.3191
Danny Walton,R,72,195,0.223,0.680,28,0.0497,0.3648
Coco Laboy,R,70,165,0.233,0.710,28,0.0497,0.3800
Billy Grabarkewitz,R,70,165,0.236,0.720,28,0.0497,0.3846
Mike Anderson,R,74,200,0.246,0.750,28,0.0497,0.3999
Rick Miller,L,72,175,0.269,0.820,28,0.0497,0.4349
Joe Nolan,L,71,175,0.263,0.802,27,0.0480,0.4249
Kurt Bevacqua,R,72,180,0.236,0.720,27,0.0480,0.3837
Horace Clarke,B,69,170,0.256,0.780,27,0.0480,0.4142
Mike Tyson,R,69,170,0.241,0.735,27,0.0480,0.3914
U L Washington,B,71,175,0.251,0.765,27,0.0480,0.4066
George Vukovich,L,72,198,0.268,0.817,27,0.0480,0.4325
Bob Kearney,R,72,190,0.233,0.710,27,0.0480,0.3792
Dick Davis,R,75,190,0.265,0.808,27,0.0480,0.4279
Chris Bando,B,72,195,0.227,0.692,27,0.0480,0.3700
Pete LaCock,L,74,200,0.257,0.784,27,0.0480,0.4157
Jerry McNertney,R,72,180,0.237,0.723,27,0.0480,0.3853
Felix Torres,R,71,165,0.254,0.774,27,0.0480,0.4112
Len Randle,B,70,169,0.257,0.784,27,0.0480,0.4157
Jim Traber,L,72,194,0.227,0.692,27,0.0480,0.3700
Andres Mora,R,72,180,0.223,0.680,27,0.0480,0.3639
Manny Jimenez,L,73,185,0.272,0.829,26,0.0462,0.4377
Mike Hershberger,R,70,175,0.252,0.768,26,0.0462,0.4072
Bobby Brown,B,74,190,0.245,0.747,26,0.0462,0.3966
Bruce Bochy,R,75,205,0.239,0.729,26,0.0462,0.3874
Jose Morales,R,71,187,0.287,0.875,26,0.0462,0.4606
Gene Richards,L,72,175,0.29,0.884,26,0.0462,0.4652
Ron Woods,R,70,168,0.233,0.710,26,0.0462,0.3783
John Boccabella,R,73,195,0.219,0.668,26,0.0462,0.3569
Jesse Gonder,L,70,180,0.251,0.765,26,0.0462,0.4057
Bob Coluccio,R,71,183,0.22,0.671,26,0.0462,0.3585
Frank Duffy,R,73,180,0.232,0.707,26,0.0462,0.3767
Jake Gibbs,L,72,180,0.233,0.710,25,0.0444,0.3774
Mike de la Hoz,R,71,175,0.251,0.765,25,0.0444,0.4048
Lenn Sakata,R,69,160,0.23,0.701,25,0.0444,0.3728
Tim Foli,R,72,179,0.251,0.765,25,0.0444,0.4048
Curt Motton,R,68,164,0.213,0.649,25,0.0444,0.3469
Bill Nahorodny,R,74,200,0.241,0.735,25,0.0444,0.3896
Jerry Moses,R,75,210,0.251,0.765,25,0.0444,0.4048
Mark Brouhard,R,73,210,0.259,0.790,25,0.0444,0.4170
Gail Hopkins,L,70,198,0.266,0.811,25,0.0444,0.4277
Syd O'Brien,R,73,185,0.23,0.701,24,0.0426,0.3719
Steve Whitaker,L,72,180,0.23,0.701,24,0.0426,0.3719
Ken Gerhart,R,72,190,0.221,0.674,24,0.0426,0.3582
Duane Walker,L,72,185,0.229,0.698,24,0.0426,0.3704
Gary Gray,R,72,187,0.24,0.732,24,0.0426,0.3872
Eddie Leon,R,72,170,0.236,0.720,24,0.0426,0.3811
Hal King,L,73,200,0.214,0.652,24,0.0426,0.3475
Norm Miller,L,70,185,0.238,0.726,24,0.0426,0.3841
Bob Chance,L,74,196,0.261,0.796,24,0.0426,0.4192
Steve Ontiveros,B,72,185,0.274,0.835,24,0.0426,0.4390
Gary Sutherland,R,72,185,0.243,0.741,24,0.0426,0.3917
Chuck Schilling,R,70,160,0.239,0.729,23,0.0409,0.3848
Duane Josephson,R,72,190,0.258,0.787,23,0.0409,0.4137
Bob Montgomery,R,73,195,0.258,0.787,23,0.0409,0.4137
Ted Sizemore,R,70,165,0.262,0.799,23,0.0409,0.4198
Bob Dernier,R,72,160,0.255,0.777,23,0.0409,0.4091
Alex Trevino,R,70,165,0.249,0.759,23,0.0409,0.4000
Mike Brown,R,74,195,0.265,0.808,23,0.0409,0.4244
Lyman Bostock,L,73,180,0.311,0.948,23,0.0409,0.4945
Julio Cruz,B,69,165,0.237,0.723,23,0.0409,0.3817
Glenn Hoffman,R,73,175,0.242,0.738,23,0.0409,0.3893
Jerry Buchek,R,71,185,0.22,0.671,22,0.0391,0.3549
Johnny Lewis,L,73,189,0.227,0.692,22,0.0391,0.3656
Angel Mangual,R,70,178,0.245,0.747,22,0.0391,0.3930
Roger Freed,R,72,190,0.245,0.747,22,0.0391,0.3930
Tom Hutton,L,71,180,0.248,0.756,22,0.0391,0.3976
Jack Hiatt,R,74,190,0.251,0.765,22,0.0391,0.4022
Nelson Mathews,R,76,195,0.223,0.680,22,0.0391,0.3595
Felix Millan,R,71,172,0.279,0.851,22,0.0391,0.4448
Johnnie LeMaster,R,74,165,0.222,0.677,22,0.0391,0.3580
Tom Egan,R,76,218,0.2,0.610,22,0.0391,0.3244
Reid Nichols,R,71,165,0.266,0.811,22,0.0391,0.4250
Marty Perez,R,71,160,0.246,0.750,22,0.0391,0.3945
Glenn Beckert,R,73,190,0.283,0.863,22,0.0391,0.4509
Ivan DeJesus,R,71,175,0.254,0.774,21,0.0373,0.4058
Tom Satriano,L,73,185,0.225,0.686,21,0.0373,0.3616
Dave McKay,B,73,195,0.229,0.698,21,0.0373,0.3677
Dave Cash,R,71,170,0.283,0.863,21,0.0373,0.4501
Jerry White,B,70,164,0.253,0.771,21,0.0373,0.4043
Bobby Mitchell,R,75,185,0.235,0.716,21,0.0373,0.3769
Jerry Narron,L,75,205,0.211,0.643,21,0.0373,0.3403
Jim Wohlford,R,71,175,0.26,0.793,21,0.0373,0.4150
Biff Pocoroba,B,70,175,0.257,0.784,21,0.0373,0.4104
John Wathan,R,74,205,0.262,0.799,21,0.0373,0.4180
Joe Gaines,R,73,190,0.241,0.735,21,0.0373,0.3860
Hal Breeden,R,74,200,0.243,0.741,21,0.0373,0.3891
Dick Nen,L,74,200,0.224,0.683,21,0.0373,0.3601
Steve Lombardozzi,R,72,175,0.233,0.710,20,0.0355,0.3729
Steve Swisher,R,74,205,0.216,0.659,20,0.0355,0.3470
Chuck Hiller,L,71,170,0.243,0.741,20,0.0355,0.3882
Mark Belanger,R,73,170,0.228,0.695,20,0.0355,0.3653
Carmen Fanzone,R,72,200,0.224,0.683,20,0.0355,0.3592
Larvell Blanks,R,68,167,0.253,0.771,20,0.0355,0.4034
Ike Brown,R,72,190,0.256,0.780,20,0.0355,0.4080
Billy North,B,71,185,0.261,0.796,20,0.0355,0.4156
Rich McKinney,R,71,185,0.225,0.686,20,0.0355,0.3607
Bob Jones,L,74,195,0.221,0.674,20,0.0355,0.3547
Fran Healy,R,77,220,0.25,0.762,20,0.0355,0.3989
Thad Bosley,L,75,175,0.272,0.829,20,0.0355,0.4324
Dave Nelson,R,70,160,0.244,0.744,20,0.0355,0.3897
Rick Renick,R,72,188,0.221,0.674,20,0.0355,0.3547
Dave Campbell,R,73,180,0.213,0.649,20,0.0355,0.3425
Ron Washington,R,71,155,0.261,0.796,20,0.0355,0.4156
Garth Iorg,R,71,170,0.258,0.787,20,0.0355,0.4111
Doug Frobel,L,76,196,0.201,0.613,20,0.0355,0.3242
Ron Hodges,L,73,185,0.24,0.732,19,0.0337,0.3827
Gary Allenson,R,71,185,0.221,0.674,19,0.0337,0.3538
Bobby Clark,R,72,190,0.239,0.729,19,0.0337,0.3812
Jim Holt,L,72,180,0.265,0.808,19,0.0337,0.4208
Bill Voss,L,74,160,0.227,0.692,19,0.0337,0.3629
Cap Peterson,R,74,195,0.23,0.701,19,0.0337,0.3675
Alan Bannister,R,71,170,0.27,0.823,19,0.0337,0.4285
Hector Torres,R,72,175,0.216,0.659,18,0.0320,0.3453
Elliott Maddox,R,71,180,0.261,0.796,18,0.0320,0.4139
Willie Norwood,R,72,185,0.242,0.738,18,0.0320,0.3849
Johnny Jeter,R,73,180,0.244,0.744,18,0.0320,0.3879
Chris Cannizzaro,R,72,190,0.235,0.716,18,0.0320,0.3742
Doug Camilli,R,71,195,0.199,0.607,18,0.0320,0.3193
Jim Price,R,72,192,0.214,0.652,18,0.0320,0.3422
Rudy Law,L,73,165,0.271,0.826,18,0.0320,0.4291
Bruce Benedict,R,73,175,0.242,0.738,18,0.0320,0.3849
Harry Spilman,L,73,180,0.237,0.723,18,0.0320,0.3773
Rick Leach,L,73,180,0.268,0.817,18,0.0320,0.4245
Ted Ford,R,70,180,0.219,0.668,17,0.0302,0.3489
Tony Scott,B,72,164,0.249,0.759,17,0.0302,0.3947
Billy Smith,B,74,185,0.23,0.701,17,0.0302,0.3657
Rick Bosetti,R,71,185,0.25,0.762,17,0.0302,0.3962
Ray Webster,L,72,185,0.244,0.744,17,0.0302,0.3870
Fernando Gonzalez,R,70,165,0.235,0.716,17,0.0302,0.3733
Rob Picciolo,R,74,185,0.234,0.713,17,0.0302,0.3718
Chuck Harrison,R,70,185,0.238,0.726,17,0.0302,0.3779
Hosken Powell,L,73,175,0.259,0.790,17,0.0302,0.4099
Ron Roenicke,B,72,180,0.238,0.726,17,0.0302,0.3779
Doug Ault,R,75,200,0.236,0.720,17,0.0302,0.3749
Bob Brower,R,71,185,0.242,0.738,17,0.0302,0.3840
Denny Doyle,L,69,175,0.25,0.762,16,0.0284,0.3953
Wayne Comer,R,70,175,0.229,0.698,16,0.0284,0.3633
Dick Howser,R,68,155,0.248,0.756,16,0.0284,0.3923
Jim Nettles,L,72,186,0.22,0.671,16,0.0284,0.3496
Glenn Borgmann,R,76,210,0.229,0.698,16,0.0284,0.3633
Dick Billings,R,73,195,0.227,0.692,16,0.0284,0.3602
Steve Huntz,B,73,204,0.206,0.628,16,0.0284,0.3282
Ned Yost,R,73,190,0.212,0.646,16,0.0284,0.3374
Dave Marshall,L,73,182,0.246,0.750,16,0.0284,0.3892
Joe Wallis,B,71,180,0.244,0.744,16,0.0284,0.3862
Terry Francona,L,73,190,0.274,0.835,16,0.0284,0.4319
Pepe Mangual,R,70,157,0.242,0.738,16,0.0284,0.3831
Ellie Rodriguez,R,71,185,0.245,0.747,16,0.0284,0.3877
Rick Wise,R,73,180,0.195,0.595,15,0.0266,0.3106
Ray Oyler,R,71,165,0.175,0.534,15,0.0266,0.2801
Dick Simpson,R,76,176,0.207,0.631,15,0.0266,0.3289
Dave Chalk,R,70,175,0.252,0.768,15,0.0266,0.3975
Danny Thompson,R,72,183,0.248,0.756,15,0.0266,0.3914
Larry Bowa,B,70,155,0.26,0.793,15,0.0266,0.4097
Jerry May,R,74,190,0.234,0.713,15,0.0266,0.3700
Doc Edwards,R,74,215,0.238,0.726,15,0.0266,0.3761
Wayne Krenchicki,L,73,180,0.266,0.811,15,0.0266,0.4188
Don Leppert,R,74,220,0.229,0.698,15,0.0266,0.3624
Daryl Sconiers,L,74,185,0.265,0.808,15,0.0266,0.4173
Gene Michael,B,74,183,0.229,0.698,15,0.0266,0.3624
Johnny Oates,L,71,188,0.25,0.762,14,0.0249,0.3935
Vern Fuller,R,73,170,0.232,0.707,14,0.0249,0.3661
Tim Harkness,L,74,182,0.235,0.716,14,0.0249,0.3707
Mickey Klutts,R,71,170,0.241,0.735,14,0.0249,0.3798
John Hale,L,74,195,0.201,0.613,14,0.0249,0.3188
Don Kessinger,B,73,170,0.252,0.768,14,0.0249,0.3966
Bob Molinaro,L,72,190,0.264,0.805,14,0.0249,0.4149
Tom Veryzer,R,73,175,0.241,0.735,14,0.0249,0.3798
Dane Iorg,L,72,180,0.276,0.841,14,0.0249,0.4332
Ken Retzer,L,72,185,0.264,0.805,14,0.0249,0.4149
Phil Gagliano,R,73,180,0.238,0.726,14,0.0249,0.3752
Paul Popovich,B,72,175,0.233,0.710,14,0.0249,0.3676
Bob Uecker,R,73,190,0.2,0.610,14,0.0249,0.3173
Dave Edwards,R,72,170,0.237,0.723,14,0.0249,0.3737
Greg Pryor,R,72,180,0.25,0.762,14,0.0249,0.3935
Ed Stroud,L,71,180,0.237,0.723,14,0.0249,0.3737
Ken Hubbs,R,74,175,0.247,0.753,14,0.0249,0.3890
Rod Gilbreath,R,74,180,0.248,0.756,14,0.0249,0.3905
Jim Beauchamp,R,74,190,0.231,0.704,14,0.0249,0.3646
Bubba Morton,R,70,175,0.267,0.814,14,0.0249,0.4194
Darrel Chaney,B,74,188,0.217,0.662,14,0.0249,0.3432
Bill Plummer,R,73,190,0.188,0.573,14,0.0249,0.2990
Ted Kubiak,B,72,175,0.231,0.704,13,0.0231,0.3637
Gary Woods,R,74,185,0.243,0.741,13,0.0231,0.3820
Kevin Bell,R,72,195,0.222,0.677,13,0.0231,0.3500
Danny Goodwin,L,73,195,0.236,0.720,13,0.0231,0.3713
Fergie Jenkins,R,77,205,0.165,0.503,13,0.0231,0.2631
Jim Anderson,R,72,170,0.218,0.665,13,0.0231,0.3439
Richie Scheinblum,B,73,180,0.263,0.802,13,0.0231,0.4125
Roberto Pena,R,68,170,0.245,0.747,13,0.0231,0.3850
Rafael Santana,R,73,165,0.246,0.750,13,0.0231,0.3865
Tommie Aaron,R,75,190,0.229,0.698,13,0.0231,0.3606
Steve Dillard,R,73,180,0.243,0.741,13,0.0231,0.3820
Sandy Alomar,B,69,140,0.245,0.747,13,0.0231,0.3850
Mike Fiore,L,72,175,0.227,0.692,13,0.0231,0.3576
Tito Landrum,R,71,175,0.249,0.759,13,0.0231,0.3911
Steve Carlton,L,76,210,0.201,0.613,13,0.0231,0.3179
Vic Harris,B,71,165,0.217,0.662,13,0.0231,0.3423
Rick Joseph,R,73,192,0.243,0.741,13,0.0231,0.3820
Bob Burda,L,71,174,0.224,0.683,13,0.0231,0.3530
Tom O'Malley,L,72,180,0.256,0.780,13,0.0231,0.4018
Tommie Reynolds,R,74,190,0.226,0.689,12,0.0213,0.3552
Garry Hancock,L,72,175,0.247,0.753,12,0.0213,0.3872
Larry Haney,R,74,195,0.215,0.655,12,0.0213,0.3384
Larry Cox,R,70,178,0.221,0.674,12,0.0213,0.3475
Ron Pruitt,R,72,185,0.269,0.820,12,0.0213,0.4207
Jim Mason,L,74,185,0.203,0.619,12,0.0213,0.3201
Dick Phillips,L,72,180,0.229,0.698,12,0.0213,0.3597
Jackie Hernandez,R,71,165,0.208,0.634,12,0.0213,0.3277
Dan Briggs,L,72,180,0.195,0.595,12,0.0213,0.3079
Alan Knicely,R,72,190,0.213,0.649,12,0.0213,0.3354
Tim Corcoran,L,71,175,0.27,0.823,12,0.0213,0.4222
Tom Seaver,R,73,195,0.154,0.470,12,0.0213,0.2454
Rich Coggins,L,68,170,0.265,0.808,12,0.0213,0.4146
Kiko Garcia,R,71,180,0.239,0.729,12,0.0213,0.3750
John Stephenson,L,71,180,0.216,0.659,12,0.0213,0.3399
Doug Clemens,L,72,180,0.229,0.698,12,0.0213,0.3597
Sonny Siebert,R,75,190,0.173,0.527,12,0.0213,0.2744
Bob Forsch,R,76,200,0.213,0.649,12,0.0213,0.3354
Bobby Valentine,R,70,189,0.26,0.793,12,0.0213,0.4070
Larry Harlow,L,74,185,0.248,0.756,12,0.0213,0.3887
Brian Asselstine,L,73,175,0.254,0.774,12,0.0213,0.3979
Jeff Stone,L,72,175,0.277,0.845,11,0.0195,0.4320
Mike Phillips,L,72,170,0.24,0.732,11,0.0195,0.3756
Howie Goss,R,76,204,0.216,0.659,11,0.0195,0.3390
Rufino Linares,R,72,170,0.27,0.823,11,0.0195,0.4214
Al Gallagher,R,72,180,0.263,0.802,11,0.0195,0.4107
Barbaro Garbey,R,70,170,0.267,0.814,11,0.0195,0.4168
Ken Walters,R,73,180,0.231,0.704,11,0.0195,0.3619
Tony Cloninger,R,72,210,0.192,0.585,11,0.0195,0.3025
Larry Milbourne,B,72,161,0.254,0.774,11,0.0195,0.3970
Phil Linz,R,73,180,0.235,0.716,11,0.0195,0.3680
Jimmie Schaffer,R,69,170,0.223,0.680,11,0.0195,0.3497
Steve Nicosia,R,70,185,0.248,0.756,11,0.0195,0.3878
Dick Bertell,R,72,200,0.25,0.762,10,0.0178,0.3900
Bruce Boisclair,L,74,185,0.263,0.802,10,0.0178,0.4098
Bombo Rivera,R,70,187,0.265,0.808,10,0.0178,0.4128
Ted Cox,R,75,195,0.245,0.747,10,0.0178,0.3824
Paul Dade,R,73,185,0.27,0.823,10,0.0178,0.4205
Fred Stanley,R,70,165,0.216,0.659,10,0.0178,0.3381
Brian Giles,R,73,165,0.228,0.695,10,0.0178,0.3564
J.R. Richard,R,80,222,0.168,0.512,10,0.0178,0.2650
Dave Rosello,R,71,160,0.236,0.720,10,0.0178,0.3686
Carl Taylor,R,74,200,0.266,0.811,10,0.0178,0.4144
Ron Davis,R,72,175,0.233,0.710,10,0.0178,0.3641
Tom Poquette,L,70,175,0.268,0.817,10,0.0178,0.4174
Bobby Cox,R,71,180,0.225,0.686,9,0.0160,0.3510
Jim Lyttle,L,72,180,0.248,0.756,9,0.0160,0.3860
Gene Locklear,L,70,165,0.274,0.835,9,0.0160,0.4257
Jack Heidemann,R,72,175,0.211,0.643,9,0.0160,0.3296
Tim Flannery,L,71,175,0.255,0.777,9,0.0160,0.3967
Rick Rhoden,R,75,195,0.238,0.726,9,0.0160,0.3708
Tim Cullen,R,73,185,0.22,0.671,9,0.0160,0.3434
Joe Keough,L,72,185,0.246,0.750,9,0.0160,0.3830
Jim Pankovits,R,70,170,0.25,0.762,9,0.0160,0.3891
Joe Simpson,L,75,175,0.242,0.738,9,0.0160,0.3769
George Smith,R,70,170,0.205,0.625,9,0.0160,0.3205
Rick Auerbach,R,72,165,0.22,0.671,9,0.0160,0.3434
Rick Sofield,L,73,195,0.243,0.741,9,0.0160,0.3784
Bob Bailor,R,71,170,0.264,0.805,9,0.0160,0.4104
Bob Barton,R,72,175,0.226,0.689,9,0.0160,0.3525
Dave McNally,R,71,185,0.133,0.405,9,0.0160,0.2107
Wayne Tolleson,B,69,160,0.241,0.735,9,0.0160,0.3754
Bill Sharp,L,70,178,0.255,0.777,9,0.0160,0.3967
Luis Melendez,R,72,165,0.248,0.756,9,0.0160,0.3860
Pedro Gonzalez,R,72,176,0.244,0.744,8,0.0142,0.3791
Sal Butera,R,72,190,0.227,0.692,8,0.0142,0.3531
Jimmy Stewart,B,72,165,0.237,0.723,8,0.0142,0.3684
Boots Day,L,69,160,0.256,0.780,8,0.0142,0.3973
Domingo Ramos,R,70,154,0.24,0.732,8,0.0142,0.3730
Phil Mankowski,L,72,180,0.264,0.805,8,0.0142,0.4095
Bob Meacham,B,73,175,0.236,0.720,8,0.0142,0.3669
Hal Lanier,R,74,180,0.228,0.695,8,0.0142,0.3547
Dick Tracewski,R,71,160,0.213,0.649,8,0.0142,0.3318
Steve Hovley,L,70,188,0.258,0.787,8,0.0142,0.4004
Jeff Torborg,R,72,195,0.214,0.652,8,0.0142,0.3333
Merritt Ranew,L,71,170,0.247,0.753,8,0.0142,0.3836
Russ Gibson,R,73,195,0.228,0.695,8,0.0142,0.3547
Broderick Perkins,L,70,180,0.271,0.826,8,0.0142,0.4202
Ed Romero,R,71,160,0.247,0.753,8,0.0142,0.3836
Juan Bonilla,R,69,170,0.256,0.780,7,0.0124,0.3965
Tony Muser,L,74,180,0.259,0.790,7,0.0124,0.4010
Jim Fairey,L,70,190,0.235,0.716,7,0.0124,0.3644
Greg Gross,L,70,160,0.287,0.875,7,0.0124,0.4437
Junior Moore,R,71,185,0.264,0.805,7,0.0124,0.4087
Dave Roberts,L,75,195,0.194,0.591,7,0.0124,0.3019
Marv Breeding,R,72,175,0.25,0.762,7,0.0124,0.3873
Jim Norris,L,70,175,0.264,0.805,7,0.0124,0.4087
Mel Stottlemyre,R,73,178,0.16,0.488,7,0.0124,0.2501
Bill Fahey,L,72,200,0.241,0.735,7,0.0124,0.3736
Doug Flynn,R,71,165,0.238,0.726,7,0.0124,0.3690
Bud Harrelson,B,71,160,0.236,0.720,7,0.0124,0.3660
Ted Martinez,R,72,165,0.24,0.732,7,0.0124,0.3721
Stan Papi,R,72,170,0.218,0.665,7,0.0124,0.3385
Carl Morton,R,72,200,0.156,0.476,7,0.0124,0.2440
Sonny Jackson,L,69,150,0.251,0.765,7,0.0124,0.3888
Orlando Mercado,R,72,180,0.199,0.607,7,0.0124,0.3096
Mario Guerrero,R,70,155,0.257,0.784,7,0.0124,0.3980
Doug Griffin,R,72,160,0.245,0.747,7,0.0124,0.3797
Jim Maloney,L,74,190,0.201,0.613,7,0.0124,0.3126
Lynn Jones,R,69,175,0.252,0.768,7,0.0124,0.3904
Al Weis,B,72,160,0.219,0.668,7,0.0124,0.3401
Sandy Valdespino,L,68,170,0.23,0.701,7,0.0124,0.3568
Don Hahn,R,73,180,0.236,0.720,7,0.0124,0.3660
Jim Rooker,R,72,195,0.201,0.613,7,0.0124,0.3126
Jerry Kenney,L,73,170,0.237,0.723,7,0.0124,0.3675
Curt Ford,L,70,150,0.245,0.747,7,0.0124,0.3797
Phil Niekro,R,73,180,0.169,0.515,7,0.0124,0.2638
Jerry Remy,L,69,165,0.275,0.838,7,0.0124,0.4254
Rod Kanehl,R,73,180,0.241,0.735,6,0.0107,0.3727
Frank Tepedino,L,71,185,0.241,0.735,6,0.0107,0.3727
Brad Wellman,R,72,170,0.231,0.704,6,0.0107,0.3575
Dal Maxvill,R,71,157,0.217,0.662,6,0.0107,0.3361
Rich Morales,R,71,170,0.195,0.595,6,0.0107,0.3026
Bob Davis,R,72,180,0.197,0.601,6,0.0107,0.3056
Rick Sweet,B,73,200,0.234,0.713,6,0.0107,0.3620
Terry Humphrey,R,75,185,0.211,0.643,6,0.0107,0.3270
Rich Chiles,L,71,170,0.254,0.774,6,0.0107,0.3925
Dave Hilton,R,71,191,0.213,0.649,6,0.0107,0.3300
John Vukovich,R,73,187,0.161,0.491,6,0.0107,0.2508
Bob Knepper,L,75,195,0.137,0.418,6,0.0107,0.2142
Bobby Klaus,R,70,170,0.208,0.634,6,0.0107,0.3224
Tucker Ashford,R,73,195,0.218,0.665,6,0.0107,0.3376
Gaylord Perry,R,76,205,0.131,0.399,6,0.0107,0.2050
Miguel Dilone,B,72,160,0.265,0.808,6,0.0107,0.4093
Buddy Biancalana,B,71,160,0.205,0.625,6,0.0107,0.3178
Ty Cline,L,72,170,0.238,0.726,6,0.0107,0.3681
Ken Rudolph,R,73,180,0.213,0.649,6,0.0107,0.3300
Ron Stone,L,74,185,0.241,0.735,6,0.0107,0.3727
Steve Renko,R,77,230,0.215,0.655,6,0.0107,0.3331
Julio Gotay,R,72,180,0.26,0.793,6,0.0107,0.4017
Luis Pujols,R,74,175,0.193,0.588,6,0.0107,0.2995
Tim Blackwell,B,71,170,0.228,0.695,6,0.0107,0.3529
Catfish Hunter,R,72,190,0.226,0.689,6,0.0107,0.3498
Hank Allen,R,72,190,0.241,0.735,6,0.0107,0.3727
Mike Squires,L,71,185,0.26,0.793,6,0.0107,0.4017
Wilbur Howard,B,74,170,0.25,0.762,6,0.0107,0.3864
Gene Clines,R,69,170,0.277,0.845,5,0.0089,0.4267
Scot Thompson,L,75,195,0.262,0.799,5,0.0089,0.4038
Steve Jeltz,B,71,180,0.21,0.640,5,0.0089,0.3246
Jim French,L,68,180,0.196,0.598,5,0.0089,0.3032
Mike Sadek,R,69,165,0.226,0.689,5,0.0089,0.3490
Luis Alvarado,R,69,162,0.214,0.652,5,0.0089,0.3307
Andy Messersmith,R,73,200,0.17,0.518,5,0.0089,0.2636
Tom Nieto,R,73,193,0.205,0.625,5,0.0089,0.3169
Roger Metzger,B,72,165,0.231,0.704,5,0.0089,0.3566
Lenny Faedo,R,72,170,0.251,0.765,5,0.0089,0.3871
Albert Hall,B,71,155,0.251,0.765,5,0.0089,0.3871
Wallace Johnson,B,72,173,0.255,0.777,5,0.0089,0.3932
Ray Sadecki,L,71,180,0.191,0.582,5,0.0089,0.2956
Andre Robertson,R,70,155,0.251,0.765,5,0.0089,0.3871
Joaquin Andujar,B,72,170,0.127,0.387,5,0.0089,0.1980
Ken Suarez,R,69,175,0.227,0.692,5,0.0089,0.3505
Mike Krukow,R,77,205,0.193,0.588,5,0.0089,0.2986
Alan Wiggins,B,74,160,0.259,0.790,5,0.0089,0.3993
Ron Clark,R,70,175,0.189,0.576,5,0.0089,0.2926
Frank Quilici,R,73,170,0.214,0.652,5,0.0089,0.3307
Steve Barber,L,72,195,0.115,0.351,5,0.0089,0.1797
Tommy John,R,75,180,0.157,0.479,5,0.0089,0.2438
Luis Tiant,R,72,180,0.164,0.500,5,0.0089,0.2544
Mike Brumley,L,70,195,0.229,0.698,5,0.0089,0.3535
Denny Lemaster,R,73,182,0.13,0.396,4,0.0071,0.2017
Larry Dierker,R,76,215,0.136,0.415,4,0.0071,0.2109
Elio Chacon,R,69,160,0.232,0.707,4,0.0071,0.3572
Tommy Dean,R,72,165,0.18,0.549,4,0.0071,0.2779
Joe Lovitto,B,72,185,0.216,0.659,4,0.0071,0.3328
Mike Richardt,R,72,170,0.226,0.689,4,0.0071,0.3481
Pat Corrales,R,72,180,0.216,0.659,4,0.0071,0.3328
Rafael Landestoy,B,70,165,0.237,0.723,4,0.0071,0.3648
Mario Mendoza,R,71,170,0.215,0.655,4,0.0071,0.3313
John Donaldson,L,71,160,0.238,0.726,4,0.0071,0.3664
Julio Gonzalez,R,71,162,0.235,0.716,4,0.0071,0.3618
Burt Hooton,R,73,210,0.123,0.375,4,0.0071,0.1911
Juan Marichal,R,72,185,0.165,0.503,4,0.0071,0.2551
Vida Blue,B,72,189,0.104,0.317,4,0.0071,0.1621
Terry Harmon,R,74,180,0.233,0.710,4,0.0071,0.3587
Jackie Gutierrez,R,71,175,0.237,0.723,4,0.0071,0.3648
Junior Kennedy,R,71,175,0.248,0.756,4,0.0071,0.3816
Tom Matchick,L,73,173,0.215,0.655,4,0.0071,0.3313
Jerry Terrell,R,71,165,0.253,0.771,4,0.0071,0.3892
Ron Gardenhire,R,72,175,0.232,0.707,4,0.0071,0.3572
Dave Skaggs,R,74,200,0.241,0.735,3,0.0053,0.3700
Manny Castillo,B,69,160,0.242,0.738,3,0.0053,0.3716
Joe Nossek,R,72,178,0.228,0.695,3,0.0053,0.3502
Don Mason,L,71,160,0.205,0.625,3,0.0053,0.3152
Bobby Mitchell,L,70,170,0.243,0.741,3,0.0053,0.3731
Onix Concepcion,R,66,160,0.239,0.729,3,0.0053,0.3670
Rodney Scott,B,72,160,0.236,0.720,3,0.0053,0.3624
Jim Lonborg,R,77,200,0.136,0.415,3,0.0053,0.2100
